sub_area,sub_area_rus,District,value
Bibirevo,Бибирево,СВАО,15.594247302959994
Nagatinskij Zaton,Нагатинский Затон,ЮАО,15.864842484889207
Tekstil'shhiki,Текстильщики,ЮВАО,15.613140912985648
Mitino,Митино,СЗАО,15.914449243424706
Basmannoe,Басманный,ЦАО,16.091226781242412
Nizhegorodskoe,Нижегородский,ЮВАО,15.485264282387345
Sokol'niki,Сокольники,ВАО,16.114676893657208
Koptevo,Коптево,САО,15.604641528875849
Kuncevo,Кунцево,ЗАО,15.765432470500368
Kosino-Uhtomskoe,Косино-Ухтомский,ВАО,15.530455423511324
Zapadnoe Degunino,Западное Дегунино,САО,15.388979646017786
Presnenskoe,Пресненский,ЦАО,16.035761985565525
Lefortovo,Лефортово,ЮВАО,15.67054481679128
Mar'ino,Марьино,ЮВАО,15.69626871914369
Kuz'minki,Кузьминки,ЮВАО,15.502661848502148
Nagornoe,Нагорный,ЮАО,15.953572581621572
Gol'janovo,Гольяново,ВАО,15.417157405676486
Vnukovo,Внуково,ЗАО,15.342207744111883
Juzhnoe Tushino,Южное Тушино,СЗАО,15.61401445013938
Severnoe Tushino,Северное Тушино,СЗАО,15.77877784326621
Chertanovo Central'noe,Чертаново Центральное,ЮАО,15.6420114265412
Fili Davydkovo,Фили-Давыдково,ЗАО,15.700234213821489
Otradnoe,Отрадное,СВАО,15.627700790656306
Novo-Peredelkino,Ново-Переделкино,ЗАО,15.549344162446523
Bogorodskoe,Богородское,ВАО,15.51767624973682
Jaroslavskoe,Ярославский,СВАО,15.524631038656947
Strogino,Строгино,СЗАО,15.886118551219411
Hovrino,Ховрино,САО,15.779766274455644
Moskvorech'e-Saburovo,Москворечье-Сабурово,ЮАО,15.695799677271353
Staroe Krjukovo,Старое Крюково,ЗелАО,15.210026944234318
Ljublino,Люблино,ЮВАО,15.52319696064554
Caricyno,Царицыно,ЮАО,15.480873265072336
Veshnjaki,Вешняки,ВАО,15.4608573887155
Danilovskoe,Даниловский,ЮАО,15.90310963209174
Preobrazhenskoe,Преображенское,ВАО,15.555297806854892
Kon'kovo,Коньково,ЮЗАО,15.833716953583018
Brateevo,Братеево,ЮАО,15.592909871550455
Vostochnoe Izmajlovo,Восточное Измайлово,ВАО,15.36067952896751
Vyhino-Zhulebino,Выхино-Жулебино,ЮВАО,15.551409977407635
Donskoe,Донской,ЮАО,15.998809521154724
Novogireevo,Новогиреево,ВАО,15.513686773403911
Juzhnoe Butovo,Южное Бутово,ЮЗАО,15.587765612698956
Sokol,Сокол,САО,15.847874737027382
Kurkino,Куркино,СЗАО,16.29701689163869
Izmajlovo,Измайлово,ВАО,15.846923341634833
Severnoe Medvedkovo,Северное Медведково,СВАО,15.599542914139256
Rostokino,Ростокино,СВАО,15.585567127546934
Orehovo-Borisovo Severnoe,Орехово-Борисово Северное,ЮАО,15.584793170351514
Ochakovo-Matveevskoe,Очаково-Матвеевское,ЗАО,15.696902331196531
Taganskoe,Таганский,ЦАО,15.818935779448196
Dmitrovskoe,Дмитровский,САО,15.46061835536772
Orehovo-Borisovo Juzhnoe,Орехово-Борисово Южное,ЮАО,15.627039763868632
Teplyj Stan,Тёплый Стан,ЮЗАО,15.74454967215569
Babushkinskoe,Бабушкинский,СВАО,15.670704965625996
Pokrovskoe Streshnevo,Покровское-Стрешнево,СЗАО,15.86642997003532
Obruchevskoe,Обручевский,ЮЗАО,16.158854887338734
Filevskij Park,Филёвский Парк,ЗАО,15.80824456834913
Troparevo-Nikulino,Тропарёво-Никулино,ЗАО,16.094773244258473
Severnoe Butovo,Северное Бутово,ЮЗАО,15.719260794543697
Hamovniki,Хамовники,ЦАО,16.610747198862367
Solncevo,Солнцево,ЗАО,15.422408788499578
Dorogomilovo,Дорогомилово,ЗАО,16.1784904832127
Timirjazevskoe,Тимирязевский,САО,15.652083089181705
Lianozovo,Лианозово,СВАО,15.579178960240316
Pechatniki,Печатники,ЮВАО,15.426166117732649
Krjukovo,Крюково,ЗелАО,15.500633598423487
Jasenevo,Ясенево,ЮЗАО,15.792100990422565
Chertanovo Severnoe,Чертаново Северное,ЮАО,15.716003858961058
Rjazanskij,Рязанский,ЮВАО,15.59770538455852
Silino,Силино,ЗелАО,15.455430518010989
Ivanovskoe,Ивановское,ВАО,15.455519099886317
Golovinskoe,Головинский,САО,15.512193106378046
Novokosino,Новокосино,ВАО,15.712237831652116
Nagatino-Sadovniki,Нагатино-Садовники,ЮАО,15.692486255940254
Birjulevo Vostochnoe,Бирюлёво Восточное,ЮАО,15.413310112598833
Severnoe Izmajlovo,Северное Измайлово,ВАО,15.47244521869144
Sokolinaja Gora,Соколиная Гора,ВАО,15.631758675268047
Vostochnoe Degunino,Восточное Дегунино,САО,15.57803957537738
Prospekt Vernadskogo,Проспект Вернадского,ЗАО,16.07843667693546
Savelki,Савёлки,ЗелАО,15.263679346789418
Ajeroport,Аэропорт,САО,15.941682540154831
Vojkovskoe,Войковский,САО,15.841999123236633
Beskudnikovskoe,Бескудниковский,САО,15.527129251641478
Krylatskoe,Крылатское,ЗАО,16.20094437355808
Juzhnoportovoe,Южнопортовый,ЮВАО,15.878414841375903
Perovo,Перово,ВАО,15.478808441992186
Akademicheskoe,Академический,ЮЗАО,15.9154941363949
Horoshevo-Mnevniki,Хорошёво-Мнёвники,СЗАО,15.674459971338363
Shhukino,Щукино,СЗАО,15.834937546958727
Kapotnja,Капотня,ЮВАО,15.40553778269299
Horoshevskoe,Хорошёвский,САО,15.976956000847698
Marfino,Марфино,СВАО,15.552970273823004
Chertanovo Juzhnoe,Чертаново Южное,ЮАО,15.645968496157016
Savelovskoe,Савёловский,САО,15.753438254754244
Birjulevo Zapadnoe,Бирюлёво Западное,ЮАО,15.38450963943886
Nekrasovka,Некрасовка,ЮВАО,15.4720184356929
Cheremushki,Черёмушки,ЮЗАО,15.848608875393882
Sviblovo,Свиблово,СВАО,15.772507979821103
Alekseevskoe,Алексеевский,СВАО,15.795133741226318
Krasnosel'skoe,Красносельский,ЦАО,16.077179874912552
Kotlovka,Котловка,ЮЗАО,15.65118790989764
Zjuzino,Зюзино,ЮЗАО,15.708296623787634
Ostankinskoe,Останкинский,СВАО,15.80626146424316
Tverskoe,Тверской,ЦАО,15.585971976861398
Losinoostrovskoe,Лосиноостровский,СВАО,15.69318665025173
Butyrskoe,Бутырский,СВАО,15.661817562516516
Matushkino,Матушкино,ЗелАО,15.252663408870015
Metrogorodok,Метрогородок,ВАО,15.493749148438797
Juzhnoe Medvedkovo,Южное Медведково,СВАО,15.483580692586354
Lomonosovskoe,Ломоносовский,ЮЗАО,16.209546071928596
Jakimanka,Якиманка,ЦАО,16.009755151778965
Mozhajskoe,Можайский,ЗАО,15.590429954114514
Molzhaninovskoe,Можайский,ЗАО,14.505308262936431
Levoberezhnoe,Левобережный,САО,15.80938401415568
Mar'ina Roshha,Марьина Роща,СВАО,15.777800666706908
Gagarinskoe,Гагаринский,ЮЗАО,16.17007776864254
Zamoskvorech'e,Замоскворечье,ЦАО,16.415669823244347
Altuf'evskoe,Алтуфьевский,СВАО,15.312836161475138
Ramenki,Раменки,ЗАО,16.104521804054844
Zjablikovo,Зябликово,ЮАО,15.588127698081886
Meshhanskoe,Мещанский,ЦАО,16.01132748781319
Severnoe,Северный,СВАО,15.443098720876748
Begovoe,Беговой,САО,16.052713365823795
Arbat,Арбат,ЦАО,16.354411337922205
Poselenie Sosenskoe,Сосенское,Новомосковский,15.436399858261534
Poselenie Moskovskij,Московский,Новомосковский,15.48655800553241
Poselenie Pervomajskoe,Первомайское,Троицкий,15.33046743275744
Poselenie Desjonovskoe,Десёновское,Новомосковский,15.27760718663376
Poselenie Voskresenskoe,Воскресенское,Новомосковский,15.46116600838499
Troickij okrug,Троицк,Троицкий,15.368359936568888
Poselenie Shherbinka,Щербинка,Новомосковский,15.201596413864705
Poselenie Filimonkovskoe,Филимонковское,Новомосковский,14.970676397515769
Poselenie Vnukovskoe,Внуковское,Новомосковский,15.602230398625933
Poselenie Marushkinskoe,Марушкинское,Новомосковский,14.770769931467862
Poselenie Rjazanovskoe,Рязановское,Новомосковский,15.440190774990445
Poselenie Kokoshkino,Кокошкино,Новомосковский,14.920879309153571
Vostochnoe,Восточный,ВАО,15.366582255502411
Poselenie Krasnopahorskoe,Краснопахорское,Троицкий,14.971050320892902
Poselenie Novofedorovskoe,Новофёдоровское,Троицкий,14.795260592435026
Poselenie Voronovskoe,Вороновское,Троицкий,15.064282968638432
Poselenie Klenovskoe,Клёновское,Троицкий,13.815511557963774
Poselenie Rogovskoe,Роговское,Троицкий,15.664443762153034
Poselenie Kievskij,Киевский,Троицкий,15.899303538794223
Poselenie Mihajlovo-Jarcevskoe,Михайлово-Ярцевское,Троицкий,15.062543139106936
